136 ^ Himnum cantāte nōbīs dē canticīs Siōnis ^ Sing for us one of the songs of Sion 
137 ^ In conspectū angelōrum psallem tibī, Deus meus ^ In the sight of the angels I praise thee, O my God
138 ^ Domine, probāvistī mē, et cognōvistī me ^ O Lord, thou searches me throughout and knowest me
139 ^ Ā virō inīquō līberā mē, Domine ^ From the unjust man deliver me, O Lord
140 ^ Domine, clāmāvī ad tē, exaudī mē ^ O Lord, I have cried to thee, hear me
141 ^ Portiō mea, Domine, sit in terrā vīventium ^ Let my portion, O Lord, be in the land of the living
143 ^ Benedictus Dominus, Deus meus ^ Blessed be the Lord, my God 
144 ^ Per singulōs diēs benedīcem tē, Domine ^ Every day I will praise thee, O Lord
145 ^ Laudābō Deum in vītā meā ^ I will praise God in my life
146 ^ Deo nostrō jūcunda sit laudātiō ^ Let praise be pleasing unto our God
