1 ^ Ecce nunc benedícite Dòminum, òmnes sèrvi Dòmini, qŭi statis in domu Dòmini, in átriîs domûs Dei nostri. ^ Behold now bless ye the Lord, all ye servants of the Lord, who stand in the house of the Lord, in the courts of the house of our God.
2 ^ In nòctibus extòllite manûs vèstras in sancta, et benedícite Dòminum. ^ In the nights lift up your hands to the holy places, and bless ye the Lord.
3 ^ Benedícat te Dòminus ex Sióne, qŭi fecit caĕlum et terram. ^ May the Lord out of Sion bless thee, he that made heaven and earth.
