1 ^ Misericórdiam et judìçium cantábo tìbi Dòmine. 
2 ^ Psallem et intèllegem in via immaculáta, quando vènies ad me. Perambulábam in innoçènzia cordis mei, in mèdio domûs meae. 
3 ^ Non proponébam ante òculos meos rem injústam~; façièntes praevaricaziónes odívi. 
4 ^ Non adháesit mìhi cor pravum~; declinántem a me malìgnum non cognoscébam. 
5 ^ Detrahèntem secréto pròximo suo, hunc persequébar~; supèrbo òculo, et insaziábili corde, quum hoc non edébam. 
6 ^ Òculi mei ad fidéles terrae, ut sèdeant mecum~; ámbulans in via immaculáta, hic mìhi ministrábat. 
7 ^ Non habitábit in mèdio domûs meae qui façit supèrbiam~; qui lóquitur iníqua non diréxit in conspèctu oculórum meórum. 
8 ^ In matutíno interfiçiébam òmnes peccatóres terrae, ut dispèrderem de çivitáte Dòmini òmnes operántes iniquitátem. 
