2 ^ Dòmine in virtúte tua laetábitur rex, et super salutáre tuum exsultábit vehemènter. 
3 ^ Desidèrium cordis ejus tribuvìsti ei, et voluntáte labiórum ejus non fraudavìsti eum. 
4 ^ Quóniam praevenìsti eum in benedicziónibus dulçédinis~; posuìsti in cápite ejus corónam de lápide prezióso. 
5 ^ Vitam petívit a te, et tribuvìsti ei lonģitúdinem diérum in sáeculum et in sáeculum sáeculi. 
6 ^ Magna est glória ejus in salutári tuo~; glóriam et magnum decórem impónes super eum. 
7 ^ Quóniam dabis eum in benedicziónem in sáeculum sáeculi~; laetificábis eum in gáudio cum vùltu tuo. 
8 ^ Quóniam rex sperat in Dòmino, et in misericórdia Altìssimi non commovébitur. 
9 ^ Inveniátur mànus tua òmnibus inimícîs tuîs~; dèxtera tua invèniat òmnes qui te odérunt. 
10 ^ Pones eos ut clíbanum ìgnis in tèmpore vùltûs tui~; Dòminus in ira sua conturbábit eos, et devorábit eos ìgnis. 
11 ^ Fructum eórum de terra pèrdes, et semen eórum a fíliîs hòminum. 
12 ^ Quóniam declinavérunt in te màla~; coģitavérunt consìlia quae non potuérunt stabilíre. 
13 ^ Quóniam pones eos dorsum~; in relíquiîs tuîs praeparábis vùltum eórum. 
14 ^ Exaltáre Dòmine in virtúte tua~; cantábimus et psallémus virtútes tuas. 
