1 ^ Levávi òculos meos in mòntes, ùnde vèniet auxìlium mìhi. 
2 ^ Auxìlium meum a Dòmino, qui feċit ċaelum et terram. 
3 ^ Non det in commoçiónem pèdem tuum, néque dormítet qui custódit te. 
4 ^ Ecċe non dormitábit néque dórmiet qui custódit Israhélem. 
5 ^ Dòminus custódit te, Dòminus protécçio tua super mànum dèxteram tuam. 
6 ^ Per diem sol non uret te, néque luna per nòctem. 
7 ^ Dòminus custódit te ab òmni màlo~; custódiat ànimam tuam Dòminus. 
8 ^ Dòminus custódiat intróitum tuum, et èxitum tuum, ex hoc nunc, et usque in sáeculum. 
