1 ^ Laŭdáte, púeri, Dòminum~; laŭdáte nomen Dòmini. ^ Praise the Lord, ye children~; praise ye the name of the Lord.
2 ^ Sit nomen Dòmini benedìctum, ex hoc nunc, et usqŭe in sáĕculum. ^ Blessed be the name of the Lord, from now, and for ever.
3 ^ A solis ortu usqŭe ad occásum laŭdábile nomen Dòmini. ^ From the rising of the sun to its setting praiseworthy is name of the Lord.
4 ^ Excèlsus super òmnes gèntes Dòminus, et super caĕlos glória ejus. ^ The Lord is high above all nations, and his glory above the heavens.
5 ^ ¿~Qŭìs sicut Dòminus Deus noster, qŭi in altîs hábitat, ^ Who is as the Lord our God, who dwelleth on high,
6 ^ et humìlia rèspicit in caĕlo et in terra~? ^ and looketh down on the low things in heaven and in earth~?
7 ^ Sùscitans a terra ìnopem, et de stèrcore érigens páŭperem, ^ Raising up the needy from the earth, and lifting up the poor out of the dunghill,
8 ^ Ut còllocet eum cum princìpibus, cum princìpibus pòpuli sui. ^ that he may place him with princes, with the princes of his people.
9 ^ Qŭi habitáre facit stèrilem in domu, matrem filiórum laĕtántem. ^ Who maketh a barren woman to dwell in a house, the joyful mother of children.
