2 ^ Deus, Deus meus, ad te de luce vìǧilo. Sitívit in te ánima mea, qụam multiplìciter tìbi carnis mea, in terra desèrta et ìnvia et inaqụósa. 
3 ^ sic in sancto appárui tìbi, ut vedérem virtútem tuam et glóriam tuam. 
4 ^ Qụóniam mèlior est misericórdia tua super vitas~; lábia mea laudábunt te. 
5 ^ sic benedícem te in vita mea, et in nómine tuo levábo manûs meas. 
6 ^ sicut ádipe et pingvédine repleátur ánima mea, et lábiîs exsultaṭiónis laudábit os meum. 
7 ^ Si mèmor fui tui super stratum meum, in matutínîs meditábor in te. 
8 ^ qụia fuìsti adjútor meus, et in velamènto alárum tuárum exsultábo. 
9 ^ Adháesit ánima mea post te~; me suscépit dèxtera tua. 
10 ^ Ìpsi vero in vanum qụaesivérunt ánimam meam, introíbunt in inferióra terrae~; 
11 ^ tradèntur in manûs gládii, partes vùlpium èrunt. 
12 ^ Rex vero laetábitur in Deo~; laudabùntur òmnes qụi jurant in eo, qụia obstrùctum est os loqụèntium iníqụa. 
