2 ^ Qui reġis Israhélem, intènde; qui dedúcis vèlut ovem Joséphum. Qui sèdes super ċerubína, manifestáre. 
3 ^ Coram Ephrémo, Beniamíno, et Manàsses èxċita potènçiam tuam, et vèni ut sàlvos fàċias nos. 
4 ^ Deus, convèrte nos, et ostènde fàċiem tuam, et sàlvi èrimus. 
5 ^ Dòmine Deus virtútum, ¿~quoúsque irásceris super oraçiónem sèrvi tui~? 
6 ^ ¿~Ċibábis nos pane lacrymárum, et pótum dabis nobïs in lácrimïs in mensúra~? 
7 ^ posuìsti nos in contradicçiónem viċínïs nostrïs, et inimíci nostri subsannavérunt nos. 
8 ^ Deus virtútum, convèrte nos, et ostènde fàċiem tuam, et sàlvi èrimus. 
9 ^ Víneam de Aeġỳpto transtulìsti~; ejeċìsti ġèntes, et plantavìsti eam. 
10 ^ Dux itìneris fuìsti in conspèctu ejus~; plantavìsti radíċes ejus, et implévit terram. 
11 ^ Opèruit mòntes ùmbra ejus, et arbústa ejus cédros Dei. 
12 ^ Extèndit pálmites suos usque ad mare, et usque ad flumen propágines ejus. 
13 ^ ¿~Ut quid destruxìsti maċèriam ejus, et vindémiant eam òmnes qui praetergrediùntur viam~? 
14 ^ Exterminávit eam aper de sỳlva, et singuláris fèrus depástus est eam. 
15 ^ Deus virtútum, convèrtere~; rèspiċe de ċaelo, et vìde, et vísita víneam ìstam, 
16 ^ et pèrfice eam quam plantávit dèxtera tua, et super fílium hòminis quem confirmavìsti tìbi. 
17 ^ Inċènsa ìgni et suffòssa~; ab increpaçióne vùltüs tui períbunt. 
18 ^ Fiat mànus tua super vìrum dèxterae tuae, et super fílium hòminis, quem confirmavìsti tìbi. 
19 ^ Et non disċédimus a te~; vivificábis nos, et nomen tuum invocábimus. 
20 ^ Dòmine Deus virtútum, convèrte nos, et ostènde fàċiem tuam, et sàlvi èrimus. 
