1 ^ Jubiláte Deo, òmnis terra~; 
2 ^ psalmum dícite nómini ejus~; date glóriam laudi ejus. 
3 ^ Dícite Deo, «~Qvam terribìlia sunt ópera tua, Dòmine. In multitúdine virtútis tuae menzièntur tìbi inimíci tui. 
4 ^ Òmnis terra adóret te, et psallat tìbi~; psalmum dícat nómini tuo.~»
5 ^ Věníte, et vedéte ópera Dei~; terrìbilis in consìliîs super fílios hòminum. 
6 ^ Qvi convèrtit mare in áridam~; in flúmine pertransíbunt pède~; ìbi laetábimur in ìpso. 
7 ^ Qvi dominátur in virtúte sua in aetèrnum~; òculi ejus super gèntes respìciunt~; qvi exásperant non exaltèntur in semet ìpsîs. 
8 ^ Benedícite, gèntes, Deum nostrum, et audítam fácite vocem laudis ejus, 
9 ^ qvi pósuit ánimam meam ad vitam, et non dèdit in commoziónem pèdes meos. 
10 ^ Qvóniam probavìsti nos, Deus~; ìgne nos examinavìsti, sicut examinátur argèntum. 
11 ^ Induxìsti nos in láqveum~; posuìsti tribülaziónes in dorso nostro~; 
12 ^ imposuìsti hòmines super cápita nostra. Transívimus per ìgnem et aqvam, et eduxìsti nos in refrigèrium. 
13 ^ Introíbo in domum tuam in holocaustîs~; reddem tìbi vota mea, 
14 ^ qvae distinxérunt lábia mea, et locútum est os meum in tribülazióne mea. 
15 ^ Holocausta medulláta òfferem tìbi cum incènso aríetum~; òfferem tìbi boves cum hircîs. 
16 ^ Věníte, audíte, et narrábo, òmnes qvi timétis Deum, qvanta fecit ánimae meae. 
17 ^ Ad ìpsum ore meo clamávi, et exaltávi sub lìngva mea. 
18 ^ iniqvitátem si aspèxi in corde meo, non exáudiet Dòminus. 
19 ^ Proptèrea exaudívit Deus, et attèndit voci deprecaziónis meae. 
20 ^ Benedìctus Deus, qvi non amóvit oraziónem meam et misericórdiam suam a me. 
