1 ^ Dòminus regnávit~; exsùltet terra~; laetèntur ìnsulae mùltae. 
2 ^ nubes et calígo in çircùmitu ejus~; justìçia et judìċium corrécçio sedis ejus. 
3 ^ Ignis ànte ìpsum praeċédet, et inflammábit in çircùmitu inimícos ejus. 
4 ^ Illuxérunt fùlgura ejus orbi terrae~; vïdit, et commóta est terra. 
5 ^ Mòntes sicut cera fluxérunt a fàċie Dòmini~; a fàċie Dòmini òmnis terrae. 
6 ^ Adnunçiavérunt ċaeli justìçiam ejus, et vïdérunt òmnes pòpuli glóriam ejus. 
7 ^ Confundàntur òmnes qui adórant sculptìlia, et qui gloriàntur in simulácrïs suïs. Adoráte eum òmnes ànġeli ejus. 
8 ^ Audívit, et laetáta est Sion, et exsultavérunt fíliae Judae pròpter judìċia tua, Dòmine. 
9 ^ Quóniam tu Dòminus Altìssimus super òmnem terram~; nìmis exaltátus es super òmnes Deos. 
10 ^ Qui dilìgitis Dòminum, odíte màlum~; custódit Dòminus ànimas sanctórum suórum~; de mànu peccatóris liberábit eos. 
11 ^ Lux orta est justo, et rectïs corde laetìçia. 
12 ^ Laetámini, justi, in Dòmino, et confitémini memóriae sanctificaçiónis ejus. 
