2 ^ Òmnes gèntes pláudite mánibus~; jubiláte Deo in voce exsultaziónis. 
3 ^ Qvóniam Dòminus excèlsus, terrìbilis~; Rex magnus super òmnem terram. 
4 ^ Subjécit pòpulos nobîs, et gèntes sub pèdibus nostrîs. 
5 ^ Elégit nobîs hereditátem suam~; spèciem Jacóbi, qvam diléxit. 
6 ^ Ascènsit Deus in júbilo, et Dòminus in voce tubae. 
7 ^ Psállite Deo nostro, psállite~; psállite regi nostro, psállite. 
8 ^ Qvóniam rex òmnis terrae Deus~; psállite sapiènter. 
9 ^ Regnábit Deus super gèntes~; Deus sèdet super sedem sanctam suam. 
10 ^ Príncipes populórum congregáti sunt cum Deo Abrahámi, qvóniam dei fortes terrae vehemènter eleváti sunt. 
