2 ^ Dixit injústus ut delìnquat in semet ìpso~; non est tìmor Dei ànte òculos ejus. 
3 ^ Quóniam dolóse egit in conspèctu ejus, ut inveniátur iníquitas ejus ad ódium. 
4 ^ Vèrba oris ejus iníquitas et dolus~; nóluit intellègere ut bène ágeret. 
5 ^ iniquitátem meditátus est in cubíli suo~; àstitit òmni viae non bonae, malìțiam autem non odívit. 
6 ^ Dòmine, in čaelo misericórdia tua, et vèritas tua usque ad nubes. 
7 ^ Justìția tua sicut mòntes Dei~; judìčia tua abỳssus mùltus. Hòmines et jumènta salvábis, Dòmine. 
8 ^ Quemádmodum multiplicavìsti misericórdiam tuam, Deus. Fílii autem hòminum in tegìmine alárum tuárum sperábunt. 
9 ^ Inebriabùntur ab ubertáte domüs tuae, et torrènte voluptátis tuae potábis eos. 
10 ^ Quóniam àpud te est fons vitae, et in lúmine tuo vidébimus lumen. 
11 ^ Praetènde misericórdiam tuam scièntibus te, et justìțiam tuam hïs qui recto sunt corde. 
12 ^ Non vèniat mìhi pes supèrbiae, et mànus peccatóris non móveat me. 
13 ^ Ìbi caduérunt qui operàntur iniquitátem~; expùlsi sunt, nec potuérunt stare. 
