1 ^ Dòminus regnávit~; irascàntur pòpuli. Qui sèdet super çerubíma~; moveátur terra. 
2 ^ Dòminus in Sióne magnus, et exçèlsus super òmnes pòpulos. 
3 ^ Confiteàntur nómini tuo magno, quóniam terrìbile et sanctum est. 
4 ^ Et honor reğis judìçium díligit~; tu paravìsti direcziónes~; judìçium et justìziam in Jacóbe tu feçìsti. 
5 ^ Exaltáte Dòminum Deum nostrum, et adoráte scabèllum pèdum ejus, quóniam sanctum est. 
6 ^ Moýses et Áharon in saçerdótibus ejus, et Sámuel inter eos qui ìnvocant nomen ejus. Invocábant Dòminum, et ìpse exaudiébat eos. 
7 ^ In colùmna nubis loquebátur ad eos~; custodiébant testimónia ejus, et praeçèptum quod dèdit illïs. 
8 ^ Dòmine Deus noster, tu exaudiébas eos~; Deus tu propìzius fuìsti eïs, et ulçíscens in òmnes adinvenziónes eórum. 
9 ^ Exaltáte Dòminum Deum nostrum, et adoráte in mònte sancto ejus, quóniam sanctus Dòminus Deus noster. 
