1 ^ Lauda, ànima mea, Dòminum. 
2 ^ Laudábo Dòminum in vita mea~; psallem Deo meo quámdiu fúero. 
3 ^ Nolíte confídere in prinčìpibus, in fíliïs hòminum, in quìbus non est sàlüs. 
4 ^ Exíbit spíritus ejus, et revertétur in terram suam~; in illa die períbunt òmnes coǧitaziónes eórum. 
5 ^ Beátus cujus Deus Jacóbi adjútor ejus, spes ejus in Dòmino Deo ìpsius, 
6 ^ qui fečit čaelum et terram, mare, et òmnia quae in eïs sunt~; qui custódit veritátem in sáeculum, 
7 ^ fàčit judìčium injúriam patièntibus, dat escam esurièntibus. Dòminus solvit compedítos~; 
8 ^ Dòminus illúminat čaecos~; Dòminus érigit elísos~; Dòminus díligit justos. 
9 ^ Dòminus custódit àdvenas~; pupìllum et vìduam susčìpiet, et vias peccatórum dispèrdet. 
10 ^ Regnábit Dòminus in sáecula~; Deus tuus, Sion, in ǧeneraziónem et ǧeneraziónem. 
