1 ^ Exáudi, Dòmine, justìziam meam~; intènde deprecaziónem meam. Áuribus pèrčipe oraziónem meam, non in lábiïs dolósïs. 
2 ^ De vùltu tuo judìčium meum pródiat~; òculi tui vìdeant aequitátes. 
3 ^ Probavìsti cor meum, et visitavìsti nòcte~; ìgne me examinavìsti, et non est invènta in me iníquitas. 
4 ^ Ut non loquátur os meum ópera hòminum~; pròpter vèrba labiórum tuórum, ego custodívi vias duras. 
5 ^ Pèrfice gressüs meos in sémitïs tuïs, ut non moveàntur vestíǧia mea. 
6 ^ Ego clamávi, quóniam exaudivìsti me, Deus~; inclína aurem tuam mìhi, et exáudi vèrba mea. 
7 ^ Mirìfica misericórdias tuas, qui sàlvos fàčis speràntes in te. 
8 ^ A resistèntibus dèxterae tuae custódi me, ut pupìllam òculi. Sub ùmbra alárum tuárum prótege me, 
9 ^ a fàčie impiórum qui me afflixérunt. Inimíci mei ànimam meam čircumdedérunt~; 
10 ^ àdipem suum conclusérunt~; os eórum locútum est supèrbiam. 
11 ^ Projičièntes me nunc čircumdedérunt me~; òculos suos statuvérunt declináre in terram. 
12 ^ Susčepérunt me sicut leo parátus ad praedam, et sicut cátulus leónis hábitans in àbditïs. 
13 ^ Exsùrge, Dòmine~; praevéni eum, et supplànta eum~; éripe ànimam meam ab ìmpio~; fràmeam tuam ab inimícïs mànüs tuae. 
14 ^ Dòmine, a paucïs de terra dívide eos in vita eórum~; de abscònditïs tuïs adimplétus est vènter eórum. Saturáti sunt fíliïs, et dimisérunt relìquias suas párvulïs suïs. 
15 ^ Ego autem in justìzia apparébo conspèctui tuo~; saziábor quum apparúerit glória tua. 
