1 ^ Exsultáte, justi, in Dòmino~; rectos dèčet collaudázio. 
2 ^ Confitémini Dòmino in zìthara~; in psaltério dèčem chordárum psàllite illi. 
3 ^ Cantáte ei cànticum novum~; bène psàllite ei in vočiferazióne. 
4 ^ Quia rectum est vèrbum Dòmini, et òmnia ópera ejus in fide. 
5 ^ Díligit misericórdiam et judìčium~; misericórdia Dòmini plena est terra. 
6 ^ Vèrbo Dòmini čaeli firmáti sunt, et spíritu oris ejus òmnis vìrtüs eórum~; 
7 ^ còngregans sicut in utre aquas maris~; ponens in thesáurïs abỳssos. 
8 ^ Tìmeat Dòminum òmnis terra~; ab eo autem commoveàntur òmnes inhabitàntes orbem. 
9 ^ Quóniam ìpse dixit, et fàcta sunt~; ìpse mandávit, et creáta sunt. 
10 ^ Dòminus dìssipat consìlia ǧèntium~; réprobat autem coǧitaziónes populórum, et réprobat consìlia prinčìpium. 
11 ^ Consìlium autem Dòmini in aetèrnum mànet~; coǧitaziónes cordis ejus in ǧenerazióne et ǧeneraziónem. 
12 ^ Beáta ǧèns cujus est Dòminus Deus ejus~; pòpulus quem elégit in hereditátem sìbi. 
13 ^ De čaelo respèxit Dòminus~; vïdit òmnes fílios hòminum. 
14 ^ De praeparáto habitáculo suo respèxit super òmnes qui hábitant terram. 
15 ^ Qui fínxit singillátim corda eórum~; qui intèllegit òmnia ópera eórum. 
16 ^ Non salvátur rex per multam virtútem, et ǧìgas non salvábitur in multitúdine virtútis suae. 
17 ^ Fallax èquus ad salútem~; in abundànzia autem virtútis suae non salvábitur. 
18 ^ Ecče òculi Dòmini super metuèntes eum, et in eïs qui sperant super misericórdia ejus, 
19 ^ ut éruat a morte ànimas eórum, et alat eos in fame. 
20 ^ Ànima nostra sùstinet Dòminum, quóniam adjútor et protéctor noster est. 
21 ^ Quia in eo laetábitur cor nostrum, et in nómine sancto ejus sperávimus. 
22 ^ Fiat misericórdia tua, Dòmine, super nos, quemádmodum sperávimus in te. 
