2 ^ Miserére mei, Deus, quóniam conculcávit me hòmo~; tota die impùgnans tribulávit me. 
3 ^ Conculcavérunt me inimíci mei tota die~; quóniam mùlti bellántes advèrsum me. 
4 ^ Ab altitúdine diéi timébo, ego vero in te sperábo. 
5 ^ In Deo laudábo sermónes meos, in Deo sperávi~; non timébo quid fáçiat mìhi carnis. 
6 ^ Tota die vèrba mea exsecrabántur~; advèrsum me òmnes coģitaziónes eórum in malum. 
7 ^ Inhabitábunt et abscòndent~; ìpsi calcáneum meum observábunt. sicut sustinuérunt ánimam meam, 
8 ^ pro nìhilo salvos fáçies illos~; in ira pòpulos confrìnges, Deus. 
9 ^ Vitam meam adnunziávi tìbi~; posuìsti lácrimas meas in conspèctu tuo, sicut et in promissióne tua~; 
10 ^ tunc convertèntur inimíci mei retrósum. In quacùmque die invocávero te, ecçe cognóvi quóniam Deus meus es. 
11 ^ In Deo laudábo vèrbum~; in Dòmino laudábo sermónem. In Deo sperávi~; non timébo quid fáçiat mìhi hòmo. 
12 ^ In me sunt, Deus, vota quae reddem, laudaziónes tìbi, 
13 ^ quóniam eripuìsti ánimam meam de morte, et pèdes meos de lapsu, ut plaçeam coram Deo in lúmine vivèntium. 
