1 ^ Lauda, Jerosólima, Dòminum~; lauda Deum tuum, Sion. 
2 ^ Quóniam confortávit sèras portárum tuárum~; benedíxit fíliïs tuïs in te. 
3 ^ Qui pósuit fines tuos pačem, et àdipe frumènti sáziat te. 
4 ^ Qui emìttit elóquium suum terrae~; velóčiter currit sermo ejus. 
5 ^ Qui dat nivem sicut lanam~; nèbulam sicut čìnerem spargit. 
6 ^ Mittit crystàllum suum sicut buccèllas~; ¿~ànte fàčiem frígoris ejus quìs sustinébit~? 
7 ^ Emìttet vèrbum suum, et liquefáčiet ea~; flabit spíritus ejus, et fluent aquae. 
8 ^ Qui adnúnziat vèrbum suum Jacóbi~; justìzias et judìčia sua Israhéli. 
9 ^ Non fečit táliter òmni nazióni, et judìčia sua non manifestávit eïs. 
