1 ^ Cantáte Dòmino cànticum novum~; cantáte Dòmino, òmnis terra. 
2 ^ Cantáte Dòmino, et benedícite nómini ejus~; adnunziáte de die in diem salutáre ejus. 
3 ^ Adnunziáte inter ǧèntes glóriam ejus~; in òmnibus pòpulïs mirabìlia ejus. 
4 ^ Quóniam magnus Dòminus, et laudábilis nìmis~; terrìbilis est super òmnes Deos. 
5 ^ Quóniam òmnes dei ǧèntium daemónia~; Dòminus autem čaelos fečit. 
6 ^ Confèssio et pulchritúdo in conspèctu ejus~; sanctimónia et magnifičènzia in sanctificazióne ejus. 
7 ^ Affèrte Dòmino, pàtriae ǧèntium, affèrte Dòmino glóriam et honórem. 
8 ^ Affèrte Dòmino glóriam nómini ejus~; tòllite hóstias, et introíte in átria ejus. 
9 ^ Adoráte Dòminum in átrio sancto ejus~; commoveátur a fàčie ejus univèrsa terra. 
10 ^ Dícite in ǧèntibus: «~Dòminus regnávit~». Ètenim corréxit orbem terrae qui non commovébitur~; judicábit pòpulos in aequitáte. 
11 ^ Laetèntur čaeli, et exsùltet terra~; commoveátur mare, et plenitúdo ejus. 
12 ^ Gaudébunt campi, et òmnia quae in eïs sunt~; tunc exsultábunt òmnia lìgna silvárum, 
13 ^ a fàčie Dòmini, quia vënit, quóniam vënit judicáre terram. Judicábit orbem terrae in aequitáte, et pòpulos in veritáte sua. 
