2 ^ Éripe me de inimícïs meïs, Deus meus, et ab insurgèntibus in me líbera me. 
3 ^ Éripe me de operàntibus iniquitátem, et de vìrïs sángüinum salva me. 
4 ^ Quia ecċe ċepérunt ànimam meam~; irruvérunt in me fortes. 
5 ^ Nèque iníquitas mea, néque peccátum meum, Dòmine~; sine iniquitáte cucùrri, et diréxi. 
6 ^ Exsùrge in occùrsum meum, et vìde. Et tu, Dòmine, Deus virtútum, Deus Israhélis, intènde ad visitándas òmnes ġèntes~; non misereáris òmnibus qui operàntur iniquitátem. 
7 ^ Convertèntur ad vèsperam, et famem patièntur ut cànes, et çircumíbunt çivitátem. 
8 ^ Ecċe loquèntur in ore suo, et glàdius in lábiïs eórum~; ¿~quóniam quìs audívit~? 
9 ^ Et tu, Dòmine, deridébis eos~; ad nìhilum dedúces òmnes ġèntes. 
10 ^ Fortitúdinem meam ad te custódiem, quia Deus susċèptor meus es. 
11 ^ Deus meus, misericórdia ejus praevèniet me~; Deus ostèndet mìhi super inimícos meos. 
12 ^ Ne occáedas eos, nequándo obliviscàntur pòpuli mei. Dispèrge illos in virtúte tua, et depóne eos, protéctor meus, Dòmine, 
13 ^ delìctum oris eórum, sermónem labiórum ipsórum, et comprehendantur in supèrbia sua. Et de exsecraçióne et mendáċio adnunçiabùntur, 
14 ^ in consummaçióne, in ira consummaçiónis, et non èrunt. Et scient quia Deus dominábitur Jacóbem, et fínium terrae. 
15 ^ Convertèntur ad vèsperam, et famem patièntur ut cànes, et çircumíbunt çivitátem. 
16 ^ Ìpsi dispergèntur ad manducándum, si vero non fúerint saturáti, et murmurábunt. 
17 ^ Ego autem cantábo fortitúdinem tuam, et exsultábo mane misericórdiam tuam. Quia fàctus es susċèptor meus, et refúġium meum, in die tribulaçiónis meae. 
18 ^ Adjútor meus, tìbi psallem, quia Deus susċèptor meus es~; Deus meus, misericórdia mea. 
