1 ^ Deus stètit in sinagóga deórum, in mèdio autem Deos dijúdicat. 
2 ^ ¿~Úsquequo judicátis iniquitátem, et fàçies peccatórum súmitis~? 
3 ^ Judicáte eğéno et pupìllo~; húmilem et páuperem justificáte. 
4 ^ Erìpite páuperem, et eğénum de mànu peccatóris liberáte. 
5 ^ Nescivérunt, nèque intellexérunt~; in tènebrîs àmbulant~; movebùntur òmnia fundamènta terrae. 
6 ^ Ego dixi, «~Dei èstis, et fílii exçèlsi òmnes. 
7 ^ Vos autem sicut hòmines moriémini, et sicut unus de prinçìpibus cadétis.~»
8 ^ Sùrge, Deus, júdica terram, quóniam tu hereditábis in òmnibus ğèntibus. 
