1 ^ Deus deórum Dòminus locútus est, et vocávit terram a solis ortu usque ad occásum. 
2 ^ E Sióne spèċies decóris ejus~; Deus manifèste vèniet. 
3 ^ Deus noster, et non silébit. Ignis in conspèctu ejus exardéscet, et in çircùmitu ejus tempèstas valida. 
4 ^ Advocábit ċaelum desùrsum, et terram, disċèrnere pòpulum suum. 
5 ^ Congregáte illi sanctos ejus, qui órdinant testamèntum ejus super sacrifìċia. 
6 ^ Et adnunçiábunt ċaeli justìçiam ejus, quóniam Deus judex est. 
7 ^ Audi, pòpulus meus, et loquer~; Ìzrahel, et testificábor tìbi~; Deus, Deus tuus ego sum. 
8 ^ Non in sacrifìċiïs tuïs árguem te~; holocáusta autem tua in conspèctu meo sunt sèmper. 
9 ^ Non acċìpiem de domu tua vìtulos, néque de grèġibus tuïs hircos. 
10 ^ Quóniam meae sunt òmnes fèrae silvárum, jumènta in mòntibus et boves. 
11 ^ Cognóvi òmnia vulatìlia ċaeli, et pulchritúdo agri mecum est. 
12 ^ Si esurívero, non dicam tìbi, meus est ènim orbis terrae, et plenitúdo ejus. 
13 ^ ¿~Numquid manducábo càrnes taurórum, aut sángüinem hircórum potábo~? 
14 ^ Ìmmola Deo sacrifìċium laudis, et redde Altìssimo vota tua. 
15 ^ Et ìnvoca me in die tribulaçiónis~; éruem te, et honorificábis me. 
16 ^ Peccatóri autem dixit Deus, «~¿~Quare tu enárras justìçias meas, et assúmis testamèntum meum per os tuum~? 
17 ^ Tu vero odìsti disċiplínam, et projeċìsti sermónes meos retrósum. 
18 ^ Si vidébas furem, currébas cum eo, et cum adùlterïs porçiónem tuam ponébas. 
19 ^ Os tuum abundávit malìçia, et lìngüa tua conċinnábat dolos. 
20 ^ Sedens advèrsus frátrem tuum loquebáris, et advèrsus fílium matris tuae ponébas scándalum. 
21 ^ Haec feċìsti, et tácui. Existimavìsti iníque quod èro tui sìmilis~; árguem te et státuem còntra fàċiem tuam. 
22 ^ Intellègite haec, qui obliviscìmini Deum~; nequándo rápiat, et non sit qui erìpiat. 
23 ^ Sacrifìċium laudis honorificábit me, et illic ìter quo ostèndem illi salutáre Dei.~»
