1 ^ Laŭdáte Dòminum in sanctîs ejus~; laŭdáte eum in firmamènto virtútis ejus. ^ Praise ye the Lord in his holy places~; praise ye him in the firmament of his power.
2 ^ Laŭdáte eum in virtútibus ejus~; laŭdáte eum secùndum multitúdinem magnitúdinis ejus. ^ Praise ye him for his mighty acts~; praise ye him according to the multitude of his greatness.
3 ^ Laŭdáte eum in sono tubaĕ~; laŭdáte eum in psaltério, et cìttara. ^ Praise him with the sound of trumpet~; praise him with psaltery and harp.
4 ^ Laŭdáte eum in tìmpano et choro~; laŭdáte eum in chordîs et órgano. ^ Praise him with timbrel and choir~; praise him with strings and organs.
5 ^ Laŭdáte eum in cìmbalîs bène sonántibus~; laŭdáte eum in cìmbalîs jubilatiónis. ^ Praise him on high sounding cymbals~; praise him on cymbals of joy.
6 ^ Omnis spíritus laŭdet Dòminum. Allelúja. ^ Let every spirit praise the Lord. Alleluia.
