1 ^ Laudáte, púeri, Dòminum~; laudáte nomen Dòmini. 
2 ^ Sit nomen Dòmini benedìctum, ex hoc nunc, et usque in sáeculum. 
3 ^ A solis ortu usque ad occásum laudábile nomen Dòmini. 
4 ^ Exčèlsus super òmnes ğèntes Dòminus, et super čaelos glória ejus. 
5 ^ ¿~Quìs sicut Dòminus Deus noster, qui in altïs hábitat, 
6 ^ et humìlia rèspičit in čaelo et in terra~? 
7 ^ Sùsčitans a terra ìnopem, et de stèrcore érigens páuperem, 
8 ^ Ut còllocet eum cum prinčìpibus, cum prinčìpibus pòpuli sui. 
9 ^ Qui habitáre fàčit stèrilem in domu, matrem filiórum laetàntem. 
