1 ^ Crédidi, pròpter qüod locútus sum~; ego autem humiliátus sum nìmis. 
2 ^ Ego dixi in exçèssu meo, «~Òmnis hòmo mendax.~»
3 ^ ¿~Qüid retrìbuem Dòmino, pro òmnibus qüae retrìbuit mìhi~? 
4 ^ Cáliçem salutáris acçìpiem, et nomen Dòmini invocábo. 
5 ^ Vota mea Dòmino reddem coram òmni pòpulo ejus. 
6 ^ Preziósa in conspèctu Dòmini mors sanctórum ejus. 
7 ^ O Dòmine, qüia ego sèrvus tuus~; ego sèrvus tuus, et fílius ançèllae tuae~; dirupìsti vìncula mea. 
8 ^ Tìbi sacrificábo hóstiam laudis, et nomen Dòmini invocábo. 
9 ^ Vota mea Dòmino reddem in conspèctu òmnis pòpuli ejus, 
10 ^ in átriîs domûs Dòmini, in mèdio tui, Jerosólima. 
