2 ^ Jubiláte Deo, òmnis terra~; servíte Dòmino in laĕtìția. Introíte in conspèctu ejus in exsultațióne. ^ Sing joyfully to God, all the earth~; serve ye the Lord with gladness~; come in before his presence with exceeding great joy.
3 ^ Scitóte qụóniam Dòminus ìpse est Deus. Ìpse fecit nos, et non ìpsi nos~; pòpulus ejus, et oves páscuaĕ ejus. ^ Know ye that the Lord he is God. He made us, and not we ourselves~; his people, and the sheep of his pasture.
4 ^ Introíte portas ejus in confeșióne, átria ejus in hìmnîs. Confitémini illi~; laŭdáte nomen ejus, ^ Go ye into his gates with praise, into his courts with hymns. Give glory to him~; praise ye his name,
5 ^ qụóniam suávis est Dòminus, in aĕtèrnum misericórdia ejus, et usqụe in ģenerațiónem et ģenerațiónem vèritas ejus. ^ for the Lord is sweet, his mercy endureth for ever, and his truth to generation and generation.
