2 ^ Magnus Dòminus, et laudábilis nìmis, in čivitáte Dei nostri, in mònte sancto ejus. 
3 ^ Fundátur exsultazióne univèrsae terrae mons Siónis~; látera aquilónis, čívitas reǧis magni. 
4 ^ Deus in dómibus ejus cognoscétur, quum susčìpiet eam. 
5 ^ Quóniam ecče reǧes terrae congregáti sunt~; convenérunt in unum. 
6 ^ Ìpsi vidèntes sic admiráti sunt, conturbáti sunt, commóti sunt. 
7 ^ Trèmor apprehèndit eos~; ìbi dolóres ut parturièntis~; 
8 ^ in spíritu vehemènti cònteres naves Tharsis. 
9 ^ sicut audívimus, sic vídimus, in čivitáte Dòmini virtútum, in čivitáte Dei nostri~; Deus fundávit eam in aetèrnum. 
10 ^ Susčépimus, Deus, misericórdiam tuam, in mèdio templi tui. 
11 ^ Secùndum nomen tuum, Deus, sic et laus tua in fines terrae~; justìzia plena est dèxtera tua. 
12 ^ Laetétur mons Siónis, et exsùltent fíliae Judae, pròpter judìčia tua, Dòmine. 
13 ^ Čircúmdate Siónem et complectìmini eam~; narráte in tùrribus ejus. 
14 ^ Pónite corda vèstra in virtúte ejus, et distribúite domüs ejus, ut enarrétis in proǧènie àltera. 
15 ^ Quóniam hic est Deus, Deus noster in aetèrnum, et in sáeculum sáeculi~; ìpse règet nos in sáecula. 
