2 ^ Notus in Judéa Deus~; in Israhéle magnum nomen ejus. 
3 ^ Et fàctus est in pače locus ejus, et habitázio ejus in Sióne. 
4 ^ Ìbi confrégit potènzias árcuum, scutum, glàdium, et bellum. 
5 ^ Illúminans tu mirabìliter a mòntibus aetèrnïs. 
6 ^ Turbáti sunt òmnes insapièntes corde~; dormivérunt sòmnum suum, et nìhil invenérunt òmnes vìri diviziárum in mànibus suïs. 
7 ^ Ab increpazióne tua, Deus Jacóbi, dormitavérunt qui asčensérunt èquos. 
8 ^ Tu terrìbilis es, ¿~et quìs resìstet tìbi~? Ex tunc ira tua. 
9 ^ De čaelo audítum fečìsti judìčium~; terra trémuit et quiévit, 
10 ^ quum exsurgéret in judìčium Deus, ut sàlvos fàčeret òmnes mansuétos terrae. 
11 ^ Quóniam coğitázio hòminis confitébitur tìbi, et relìquiae coğitaziónis diem festum agent tìbi. 
12 ^ Vovéte et rèddite Dòmino Deo vèstro~; òmnes qui in čircùmitu ejus affèrtis múnera terrìbili, 
13 ^ et ei qui aufert spíritum prinčìpium~; terrìbili àpud reğes terrae. 
