2 ^ Dòmine, ne in furóre tuo árguas me, nèque in ira tua corrìpias me. 
3 ^ Miserére mei, Dòmine, quóniam infìrmus sum~; sana me, Dòmine, quóniam conturbáta sunt òssua mea. 
4 ^ Et ànima mea turbáta est valde~; ¿~sed tu, Dòmine, úsquequo~? 
5 ^ Convèrtere, Dòmine, et éripe ànimam meam~; salvum me fac pròpter misericórdiam tuam. 
6 ^ Quóniam non est in morte qui mèmor sit tui~; ¿~in infèrno autem quìs confitébitur tìbi~? 
7 ^ Laborávi in ģèmitu meo, lavábo per sìngulas nòctes lèctum meum~; lácrimîs meîs stratum meum rigábo. 
8 ^ Turbátus est a furóre òculus meus~; inveterávi inter òmnes inimícos meos. 
9 ^ Disçédite a me òmnes qui operámini iniquitátem, quóniam exaudívit Dòminus voçem fletûs mei. 
10 ^ Exaudívit Dòminus deprecaziónem meam~; Dòminus oraziónem meam susçépit. 
11 ^ Erubéscant et conturbèntur vehemènter, òmnes inimíci mei~; convertàntur et erubéscant valde velóçiter. 
