1 ^ Consèrva me, Dòmine, quóniam sperávi in te. 
2 ^ Dixi Dòmino, «~Deus meus es tu, quóniam bonórum meórum non eğes.~»
3 ^ Sanctïs qui sunt in terra ejus, mirificávit òmnes voluntátes meas in eïs. 
4 ^ Multiplicátae sunt infirmitátes eórum~; póstea acčeleravérunt. Non congregábo conventìcula eórum de sangüìnibus, nec mèmor èro nóminum eórum per lábia mea. 
5 ^ Dòminus pars hereditátis meae, et cáličis mei~; tu es qui restìtues hereditátem meam mìhi. 
6 ^ Funes caduérunt mìhi in praeclárïs~; ètenim heréditas mea praeclára est mìhi. 
7 ^ Benedícem Dòminum qui tribúvit mìhi intelléctum~; ìnsuper et usque ad nòctem increpavérunt me renes mei. 
8 ^ Provedébam Dòminum in conspèctu meo sèmper, quóniam a dèxtrïs est mìhi, ne commóvear. 
9 ^ Pròpter hoc laetátum est cor meum, et exsultávit lìngüa mea~; ìnsuper et càro mea requiéscet in spe. 
10 ^ Quóniam non derelìnques ànimam meam in infèrno, nec dabis sanctum tuum vidére corrupziónem. 
11 ^ Notas mìhi fečìsti vias vitae~; adimplébis me laetìzia cum vùltu tuo~; delectaziónes in dèxtera tua usque in finem. 
