1 ^ Benedíçe, ánima mea, Dòmino. Dòmine Deus meus, magnificátus es vehemènter. Confessiónem et decórem induìsti, 
2 ^ amìctus lúmine sicut vestimènto, extèndens caelum sicut pellem. 
3 ^ Qvi tègis aqvîs superióra ejus~; qvi ponis nubem asçènsum tuum~; qvi ámbulas super pennas ventórum. 
4 ^ Qvi façis ángelos tuos spíritûs, et minìstros tuos ìgnem urèntem. 
5 ^ Qvi fundavìsti terram super stabilitátem suam~; non inclinábitur in sáeculum sáeculi. 
6 ^ Abìssus sicut vestimèntum amìctus ejus~; super mòntes stabunt aqvae. 
7 ^ Ab increpazióne tua fúgient~; a voçe tonìtrui tui formidábunt. 
8 ^ Asçèndunt mòntes, et desçèndunt campi in locum qvem fundavìsti eîs. 
9 ^ Tèrminum posuìsti qvem non transgredièntur, nèqve convertèntur operíre terram. 
10 ^ Qvi emìttîs fòntes in convállibus~; inter mèdium mòntium pertransíbunt aqvae. 
11 ^ Potábunt òmnes béstiae agri~; expectábunt ònagri in sìti sua. 
12 ^ Super ea vulácres caeli habitábunt~; de mèdio petrárum dabunt voçem. 
13 ^ Rìgans mòntes de superióribus suîs~; de fructu óperum tuórum saziábitur terra~; 
14 ^ prodúcens foenum jumèntîs, et herbam servitúti hòminum, ut edúças panem de terra, 
15 ^ et vínum laetìficet cor hòminis, ut exhìlaret fáçiem in óleo, et panis cor hòminis confìrmet. 
16 ^ Saturabùntur lìgna campi, et cedri Lìbani qvas plantávit~;
17 ^ illic pásseres nidificábunt~; heródii domus dux est eórum. 
18 ^ Mòntes excèlsi cèrvîs~; pètra refúgium erináceîs. 
19 ^ Feçit lunam in tèmpora~; sol cognóvit occásum suum. 
20 ^ posuìsti tènebras, et facta est nòx~; in ìpsa pertransíbunt òmnes béstiae silvae. 
21 ^ cátuli leónum rugièntes ut rápiant, et qvaerant a Deo escam sìbi. 
22 ^ Ortus est sol, et congregáti sunt, et in cubílibus suîs collocabùntur. 
23 ^ Exíbit hòmo ad opus suum, et ad operaziónem suam usqve ad vèsperum. 
24 ^ Qvam magnificáta sunt ópera tua, Dòmine. Òmnia in sapiènzia feçìsti~; impléta est terra possessióne tua. 
25 ^ Hoc mare magnum, et spaziósum mánibus~; illic reptìlia qvórum non est númerus, animália pusìlla cum magnîs. 
26 ^ Illîc naves pertransíbunt~; draco ìste qvem formavìsti ad illudèndum ei. 
27 ^ Òmnia a te expèctant ut des illîs escam in tèmpore~; 
28 ^ dante te illîs, còlligent~; aperiènte te manum tuam, òmnia implebùntur bonitáte. 
29 ^ Avertènte autem te fáçiem, turbabùntur~; áuferes spíritum eórum, et defìçient, et in pùlverem suum revertèntur. 
30 ^ Emìttes spíritum tuum, et creabùntur, et renovábis fáçiem terrae. 
31 ^ Sit glória Dòmini in sáeculum~; laetábitur Dòminus in opèribus suîs. 
32 ^ Qvi rèspiçit terram, et façit eam trèmere~; qvi tangit mòntes, et fúmigant. 
33 ^ Cantábo Dòmino in vita mea~; psallem Deo meo qvámdiu sum. 
34 ^ Jucùndum sit ei elóqvium meum~; ego vero delectábor in Dòmino. 
35 ^ defìçiant peccatóres a terra, et iníqvi, ita ut non sint. Benedíçe, ánima mea, Dòmino. 
