2 ^ Vèrba mea áuribus pèrcipe, Dòmine~; intèlleǧe clamórem meum. 
3 ^ Intènde voci oraṭiónis meae, rex meus et Deus meus. 
4 ^ Qụóniam ad te orábo, Dòmine~; mane exáudies vocem meam. 
5 ^ Mane astábo tìbi et vedébo, qụóniam non Deus volens iniqụitátem tu es. 
6 ^ Nèqụe habitábit juxta te malìgnus, nèqụe permanébunt injústi ante òculos tuos. 
7 ^ Odìsti òmnes qụi operántur iniqụitátem~; pèrdes òmnes, qụi loqụùntur mendácium. Vìrum sángvinum et dolósum abominábitur Dòminus. 
8 ^ Ego autem in multitúdine misericórdiae tuae, introíbo in domum tuam~; adorábo ad templum sanctum tuum in timóre tuo. 
9 ^ Dòmine, dedúce me in justìṭia tua~; pròpter inimícos meos díriǧe in conspèctu tuo viam meam. 
10 ^ Qụóniam non est in ore eórum vèritas~; cor eórum vanum est. 
11 ^ Sepùlcrum patens est guttur eórum~; lìngvîs suîs dolóse aǧébant~; júdica illos, Deus. Décadant a coǧitaṭiónibus suîs~; secùndum multitúdinem impietátum eórum expèlle eos, qụóniam irritavérunt te, Dòmine. 
12 ^ Et laetèntur òmnes qụi sperant in te~; in aetèrnum exsultábunt, et habitábis in eîs. Et gloriabùntur in te òmnes qụi díliǧunt nomen tuum, 
13 ^ qụóniam tu benedíces justo. Dòmine, ut scuto bonae voluntátis tuae coronavìsti nos. 
