1 ^ Ecce qvam bonum et qvam jucùndum habitáre fratres in ünum. 
2 ^ sicut ungvèntum in cápite, qvod descèndit in barbam, barbam Aharónis, qvod descèndit in órlam vestimènti ejus~; 
3 ^ sicut ros Hermónis, qvi descèndit in mòntem Siónis. Qvóniam illic mandávit Dòminus benedicziónem, et vitam usqve in sáeculum. 
