2 ^ Deus noster refúġium et vìrtüs~; adjútor in tribulaçiónibus quae invenérunt nos nìmis. 
3 ^ Proptèrea non timébimus dum turbábitur terra, et transferèntur mòntes in cor maris. 
4 ^ Sonavérunt et turbátae sunt aquae eórum~; conturbáti sunt mòntes in fortitúdine ejus. 
5 ^ Flúminis ìmpetus laetìficat çivitátem Dei~; sanctificávit tabernáculum suum Altìssimus. 
6 ^ Deus in mèdio ejus, non commovébitur~; adjuvábit eam Deus mane dilúculo. 
7 ^ Conturbátae sunt ġèntes, et inclináta sunt regna~; dèdit voċem suam, mota est terra. 
8 ^ Dòminus virtútum nobíscum~; susċèptor noster Deus Jacóbi. 
9 ^ Veníte et vidéte ópera Dòmini, quae pósuit prodìġia super terram, 
10 ^ áuferens bella usque ad finem terrae. Arcum cònteret, et confrìnget arma, et scuta combúret ìgni. 
11 ^ Vacáte, et vidéte quóniam ego sum Deus~; exaltábor in ġèntibus, et exaltábor in terra. 
12 ^ Dòminus virtútum nobíscum~; susċèptor noster Deus Jacóbi. 
