1 ^ Cantáte Dòmino cànticum novum~; laus ejus in ecclézia sanctórum. 
2 ^ Laetétur Ìzrahel in eo qui feċit eum, et fílii Siónis exsùltent in reġe suo. 
3 ^ Laudent nomen ejus in choro~; in tỳmpano et psaltério psallant ei. 
4 ^ Quia benepláċitum est Dòmino in pòpulo suo, et exaltábit mansuétos in salútem. 
5 ^ Exsultábunt sancti in glória~; laetabùntur in cubílibus suïs. 
6 ^ Exaltaçiónes Dei in gùtture eórum, et glàdii anċìpites in mànibus eórum~; 
7 ^ ad faċièndam vindìctam in naçiónibus, increpaçiónes in pòpulïs~; 
8 ^ ad alligándos reġes eórum in compèdibus, et nóbiles eórum in mànicïs fèrreïs~; 
9 ^ ut fàċiant in eïs judìċium conscríptum~; glória haec est òmnibus sanctïs ejus. Allelúja. 
