1 ^ Ad te, Dòmine, clamábo~; Deus meus, ne sìleas a me, ne qŭando táceas a me, et assimilábor descendèntibus in lacum. ^ Unto thee, O Lord, will I cry~; O my God, be not thou silent to me, lest if thou be silent to me, and I shall be like them that go down into the pit.
2 ^ Exáŭdi, Dòmine, vocem deprecatiónis meaĕ dum oro ad te~; dum extòllo manûs meas ad templum sanctum tuum. ^ Hear, O Lord, the voice of my supplication, when I pray to thee~; when I lift up my hands to thy holy temple.
3 ^ Ne sìmul trahas me cum peccatóribus, et cum operántibus iniqŭitátem ne pèrdas me~; qŭi loqŭùntur pacem cum pròximo suo, mala aŭtem in córdibus eórum. ^ Draw me not away together with the wicked, and with the workers of iniquity destroy me not~; who speak peace with their neighbour, but evils are in their hearts.
4 ^ Da illîs secùndum ópera eórum, et secùndum neqŭìtiam adinventiónum ipsórum. Secùndum ópera mánuum eórum trìbue illîs~; redde retributiónem eórum ìpsîs. ^ Give them according to their works, and according to the wickedness of their inventions. According to the works of their hands give thou to them~; render to them their reward.
5 ^ Qŭóniam non intellexérunt ópera Dòmini, et in ópera mánuum ejus~; déstrues illos, et non aĕdificábis eos. ^ Because they have not understood the works of the Lord, and the operations of his hands~; thou shalt destroy them, and shalt not build them up.
6 ^ Benedìctus Dòminus, qŭóniam exaŭdívit vocem deprecatiónis meaĕ. ^ Blessed be the Lord, for he hath heard the voice of my supplication.
7 ^ Dòminus adjútor meus, et protéctor meus~; in ìpso sperávit cor meum et adjútus sum, et reflóruit carnis mea, et èx voluntáte mea confitébor ei. ^ The Lord is my helper and my protector~; in him hath my heart confided and I have been helped, and my flesh hath flourished again, and with my will I will give praise to him.
8 ^ Dòminus fortitúdo plebis suaĕ, et protéctor salvatiónum christi sui est. ^ The Lord is the strength of his people, and the protector of the salvation of his anointed.
9 ^ Salvum fac pòpulum tuum, Dòmine, et benedíce hereditáti tuaĕ, et rège eos, et extòlle illos usqŭe in aĕtèrnum. ^ Save thy people, O Lord, and bless thy inheritance, and rule them, and exalt them for ever.
